text,risk_level,risk_label
"COCOA BUTTER; mixed spices; SYNTHETIC FOOD COLOUR-124; Whole Wheat Flour(Atta); PALM OIL; SALT; Preservatives (280, 281 & 200]; Organic Whole Wheat Flour; Refined Wheat Flour (Maida); LIQUID GLUCOSE",5,High Risk
"REFINED PALM OIL, Edible Common Salt, Carbonated Water, Wheat Bran, DEHYDRATED VEGETABLES (CARROT, PARSLEY), Edible Vegetable Oils (Palm)",3,Moderate
"SUGAR, ORANGE JUICE, Dehydrated Vegetables (carrot, parsley)",2,Safe
"sucrose, CARBONATED WATER, EDIBLE COMMON SALT, CINNAMON",2,Safe
"Refined Wheat Flour, Edible Salt",3,Moderate
"Salt, Salt, WHEAT GLUTEN, Rolled Oats",2,Safe
artificial flavouring substances ethyl vanillin,5,High Risk
ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN | PALM OIL | Sodium Benzoate (INS 211). | LIQUID GLUCOSE | palm oil | TONED MILK | RED CHILLI POWDER | Edible starch | SUGAR,5,High Risk
honey; soya flour; ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN; Iodized salt; Refined Palmolein oil; Added Flavour (Natural Flavouring Substances; REFINED PALM OIL; sugar; Toned Milk Dahi; edible common salt,5,High Risk
Synthetic Food Colour (INS-122)(INS-124),5,High Risk
"ASAFOETIDA; PRESERVATIVE-211; Liquid glucose; potassium carbonate (acidity regulator, e501(i)); ARTIFICIAL FLAVOUR SUBSTANCES (ROSE); EDIBLE VEGETABLE OIL (PALM OIL)",5,High Risk
"Corn Flakes, Oats",1,Very Safe
"edible vegetable oil (soyabean, palmolein), sugar, COCOA SOLIDS, Sugar, Orange Fruit Powder, sugar",2,Safe
"vitamin a (ace vitamin d2 (ergocalciferol), ORGANIC WHOLE WHEAT FLOUR",1,Very Safe
"BUTTER, synthetic food colours (ins 102 & 133), Palmolein, Refined Wheat flour (Maida), INVERT SYRUP, MALTODEXTRIN, EDIBLE VEGETABLE OIL (PALM OIL), Refined Palmolein oil, humectant (4510), acidity regulator (ins 260)",5,High Risk
"EMULSIFIERS (322,472e,471), elaichi flavour, liquid glucose, Emulsifiers (Ins 322(1), Ins 471)., ANTICAKING AGENT(INS 554), emulsifier (ins 322), REFINED PALM OIL, Edible Starch, invert syrup, Orange Juice Concentrate, sugar, rice flakes",4,Concerning
"vitamin a (ace vitamin d2 (ergocalciferol), Toned Milk Dahi, Yeast",1,Very Safe
"REFINED WHEAT FLOUR (53%), corn flakes, peanut, milk solids, LIQUID GLUCOSE, COCOA SOLIDS",3,Moderate
"flavouring substances, ADDED ORANGE FLAVOUR, refined palm oil",4,Concerning
"sugar, rock salt, Sugar, TURMERIC POWDER, mineral (calcium carbonate), Sugar",2,Safe
"natural spice extracts, INVERT SUGAR SYRUP, black salt, sugar, sugar, EMULSIFIERS (INS 322(1), INS 471)., Refined Palm Oil, Dough Conditioner (223), refined wheat flour, SUGAR, Refined Soyabean Oil, Maltodex- Trin",4,Concerning
"Raising Agents [503 (Ii), 500 (Ii) ); edible palm oil; ragi flour; Sweetener (960); Flavour Enhancers E627 E631; ACIDITY REGULATOR (CITRIC ACID); cocoa solids; REFINED PALM OIL; organic jaggery",5,High Risk
"REFINED PALM OIL, Tomato Powder, REFINED WHEAT FLOUR, ADDED ORANGE FLAVOUR, Refined Wheat Flour (53%), Sugar, SYNTHETIC FOOD COLOURS (INS 102 & 133), Acidity Regulator (INS-330), Edible Common Salt, invert sugar syrup",5,High Risk
"Liquid Glucose | IODIZED SALT | antioxidant (ins 320) | ARTIFICIAL SWEETENERS | Synthetic Food Colours (110, 102) | PRESERVATIVE-211 | SYNTHETIC FOOD COLOUR-124 | Citric Acid (Acidifying Agent, E330) | WHEAT FLOUR",5,High Risk
"refined wheat flour (maida) | Emulsifiers [471,481 (i)] | refined palm oil | ARTIFICIAL FLAVOUR SUBSTANCES (ROSE) | sugar | Contains Permitted Natural Colour | REFINED SUGAR | ARTIFICIAL FLAVOURIN SUBSTANCES | Acidity Regulator (Ins 330)",5,High Risk
REFINED PALMOLEIN OIL,3,Moderate
"Milk Solids | edible palm oil | ANTIOXIDANT | LIQUID GLUCOSE | ADDED ORANGE FLAVOURS | Sodium Benzoate (INS 211). | PALM OIL | SYNTHETIC FOOD COLOURS (110, 102) | Iodized Salt",5,High Risk
"SYNTHETIC FOOD COLOURS, refined wheat flour, antioxidant (300)., edible vegetable oil (palm), REFINED SUGAR, Sweeteners( 951, 950)",5,High Risk
LIQUID GLUCOSE; cocoa solids; Almond; refined wheat flour,3,Moderate
"REFINED WHEAT FLOUR (MAIDA), Palmolein, Milk solids, wheat gluten, SUGAR",3,Moderate
preservative (ins234),4,Concerning
"PALM OIL, Palmolein, PALM OIL, acidity regulators (330, 331()), edible palm oil, PALMOLEIN",4,Concerning
HYDROGENATED VEGETABLE OIL,2,Safe
SUGAR,2,Safe
"invert syrup, EDIBLE VEGETABLE OIL (PALM OIL), emulsifier (soya lecithin), SYNTHETIC FOOD COLOURS, Butter, WHEAT FLOUR",5,High Risk
REFINED WHEAT FLOUR (53%) | guava pulp | ACIDITY REGULATOR (INS 260),4,Concerning
Natural Spice Extracts,1,Very Safe
"Ferrous Citrate, natural cereal fibre, rock salt, NATURAL ESSENTIAL OILS, mango pulp",1,Very Safe
Edible Vegetable Oils (Palm); synthetic food colour (ins-122)(ins-124); REFINED PALMOLEIN OIL; natural food colour (150); refined wheat flour (maida); TONED MILK DAHI; PRESERVATIVE (INS234); LIQUID GLUCOSE; Sugar; Edible Common Salt,5,High Risk
"Sugar, MANGO PULP, CHOCO CREAM, Artificial Flavoring Substance.",5,High Risk
"SUGAR, ROCK SALT, COCOA SOLIDS, SOYA FLOUR",2,Safe
"Asafoetida, Cocoa Solids, mixed spices",1,Very Safe
"ORGANIC WHOLE WHEAT FLOUR, Water, mixed spices, RICE FLAKES, VITAMIN B1 (THE CHLORIDE HYDROCHLORIDE)",1,Very Safe
Class Ii Preservative,4,Concerning
"Edible Common Salt, refined palm oil, Antioxidant (Ins 300)., Sugar, palm oil, Emulsifiers [471,481 (i)]",4,Concerning
"Salt, RAISING AGENTS[503(ii),500 (ii),450(1)], palm oil, ACIDITY REGULATOR (INS 330)., DEHYDRATED VEGETABLES (CARROT, PARSLEY), Antioxidant (300)., WHEAT FLOUR, Flax & Sesame Seeds, preservative-211, ORGANIC JAGGERY, invert syrup",4,Concerning
"refined palm oil, anticaking agent (ins 551), Orange Fruit Powder, Butter, jaggery, Anticaking Agent E551, palm oil, refined wheat flour, refined wheat flour",4,Concerning
Ragi; refined sugar; liquid glucose; edible palm oil; corn flakes; Sugar; synthetic food colours,5,High Risk
"cocoa solids, wheat gluten, ORGANIC WHOLE MILLETS FLOUR, Organic Whole Wheat Flour, mineral (Calcium carbonate), Gluten",1,Very Safe
"SUGAR, NATURAL SPICE EXTRACTS, SUGAR, black salt",2,Safe
"Refined Wheat Flour, water, SUGAR, Acidity Regulators (338, 331, 330), Edible Vegetable Oil (Mustard Oil), Tomato Powder, Refined Wheat Flour (53%), improver [blend of antioxidant 300, anticaking agent 170(i) & flour improver 1100], BLACK SALT, hydrogenated vegetable oil, Invert Syrup, Acidity regulators (5000), 5010))&170(0))",4,Concerning
"Mango Pulp, refined wheat flour, refined wheat flour (maida), Tertiary Butylhydroquinone (Antioxidant, E319), Acidity Regulators (330&500()), Sucrose, Mixed Fruit, NATURAL COLOUR (150d), choco cream",5,High Risk
Palmolien Oil,2,Safe
"Antioxidant (INS 300)., Refined Wheat Flour, orange fruit powder, soya flour, Soya Flour, REFINED WHEAT FLOUR (MAIDA), refined sugar, Anticidant [300]",4,Concerning
"potassium carbonate (acidity regulator, e501(i)), Emulsifier ((471),460()), SYNTHETIC FOOD COLOURS",5,High Risk
"EMULS 472E, 481 (1), choco crème, Black Salt",2,Safe
"palm oil, Antioxidant, sugar",4,Concerning
Synthetic Food Colours (Ins 102 & 133),5,High Risk
sugar | colour (INS 150d) | Wheat flour (Maida),4,Concerning
"RICE FLAKES, milk solids",1,Very Safe
MILK SOLIDS | Sugar | SYNTHETIC FOOD COLOUR (INS 133) | Milk | Antioxidant(E300) | refined sugar | refined palm oil | REFINED WHEAT FLOUR | BLACK SALT | YEAST,5,High Risk
"PALM OIL, WHEAT GLUTEN, Common Salt, Red Chilli Powder, EDIBLE VEGETABLE OIL (PALM OIL), Fruit And Vegetable Extracts",3,Moderate
"refined palmolein oil; Colour(S) (Ins 150C, Ins 150D); STABILIZER (PECTIN)",4,Concerning
"liquid glucose, Maize Starch, Liquid glucose, rice flakes, Sugar",3,Moderate
SUGAR | palmolein | REFINED WHEAT FLOUR | palm oil | Liquid Glucose | Sugar | acidity regulator (260) | class ii preservative (ins-211) | SUGAR,4,Concerning
"Refined Wheat Flour, wheat flour, Refined Wheat Flour (Maida), Wheat Flour, Refined Palm Oil, Spices & Condiments",3,Moderate
"mineral (calcium carbonate), HONEY, Cereal Products",1,Very Safe
"REFINED WHEAT FLOUR, ANTICAKING AGENT (INS 551), fruit juice powder, EDIBLE PALM OIL, Palm Oil",4,Concerning
Edible starch,2,Safe
RAGI FLOUR | STABILIZER (INS 170) | WHEAT FLOUR (MAIDA) | WATER | NATURAL SPICE OILS | refined wheat flour,4,Concerning
Emulsifier (322),4,Concerning
"FLAVOURING SUBSTANCE, Stabilizer (407), Flavour Enhancers E627 E631, sugar, Toned Milk, PURIFIED WATER, dehydrated vegetables (carrot, parsley), SUGAR, sugar",5,High Risk
"PEAS, Ragi, purified water, WATER, BLACK SALT, COCOA SOLIDS",1,Very Safe
Vitamin B1 (The chloride hydrochloride) | antioxidant | INVERT SYRUP | LIQUID GLUCOSE | added orange flavour,4,Concerning
ORGANIC WHOLE WHEAT FLOUR | IMPROVERS[170(1) 510] | BLACK SALT | Acidity Regulators (330&500()) | invert sugar syrup | NATURAL SPICE EXTRACTS,4,Concerning
"Sugar, WHEAT FLOUR, OATS, Noodle powder, Hydrogenated vegetable fats, SUGAR",2,Safe
"SUGAR, SUGAR, Ragi, Edible Common Salt, EDIBLE VEGETABLE OIL (PALM)",2,Safe
"fruit juice powder, COCOA BUTTER, milk solids, Hydrogenated Vegetable Oil",2,Safe
FLAVOURING SUBSTANCES,4,Concerning
"Sugar, CARBONATED WATER, lemon juice concentrate, EDIBLE COMMON SALT, choco crème",2,Safe
"REFINED WHEAT FLOUR, Noodle Powder",3,Moderate
refined palmolein oil; Palmolein; Maize Starch; Corn Flour; antioxidant (ins 307b),4,Concerning
"REFINED WHEAT FLOUR (53%) | class ii preservative | refined palm oil | refined palm oil | Liquid Glucose | Soy Sauce Powder (soybean, wheat, salt) | Natural Colour (160A (I)) | acidity regulators (338, 331, 330) | Sweetener (955). | Refined Wheat Flour (53%) | MILK SOLIDS | Milk solids",5,High Risk
"acidity regulator(ins 330 & ins 260), BLACK SALT, sugar, double toned milk, REFINED WHEAT FLOUR (MAIDA), EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), SWEETENER (960), Palmolein",5,High Risk
"Edible Palm Oil, Orange Juice Concentrate, Water, refined wheat flour (maida), Salt, Refined Wheat flour (Maida)",3,Moderate
"Refined sugar, Salt, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE, salt, refined wheat flour (maida), Flavour Enhancers E627 E631, REFINED WHEAT FLOUR (MAIDA), SUGAR, BUTTER, hydrogenated vegetable fat, SUGAR, Flavour Enhancers (INS 627&INS 631).",5,High Risk
"Contains Permitted Natural Colour; Dehydrated Vegetables (Carrot, Parsley); WHEAT FLOUR; INVERT SYRUP; Milk Solids; Refined Wheat Flour (Maida)",4,Concerning
"Refined Wheat Flour (53%), Orange Juice Concentrate, edible palm oil, choco cream",3,Moderate
ALMOND,1,Very Safe
Refined Palmolein | SUCROSE | artificial flavouring substances ethyl vanillin | PALMOLEIN | Artificial Flavouring Substance Vanilla And Milk | Added Orange Flavour | REFINED PALM OIL | wheat flour | Maize Starch | Refined Soyabean Oil | Liquid Glucose | Refined Palmolein,5,High Risk
"milk solids, jaggery, Cocoa solids, whole wheat flour(atta), BENGAL GRAM, TONED MILK DAHI",1,Very Safe
"synthetic food colours, WHEAT FLOUR, improver [blend of antioxidant 300, anticaking agent 170(i) & flour improver 1100]",5,High Risk
"SOY SAUCE POWDER (SOYBEAN, WHEAT, SALT), SUGAR, IMPROVERS[170(1) 510], Nature Identical Flavouring Substances Chocolate",4,Concerning
"Refined Wheat flour (Maida), Cumin Seed, Refined Palmolein Oil, SUGAR",3,Moderate
soya flour,2,Safe
WHOLE WHEAT,1,Very Safe
"Palm Oil; CORN FLOUR; SWEETENERS( 951, 950); RICE FLOUR; choco cream; ARTIFICIAL SWEETENERS; synthetic food colours (ins 102 & 133)",5,High Risk
"Liquid Glucose | EDIBLE SALT | Acidity Regulator (INS 330). | CHOCO CREAM | Refined Wheat Flour | ARTIFICIAL FLAVORING SUBSTANCE. | ADDED ORANGE FLAVOUR | water | Potassium Carbonate (Acidity Regulator, E501(i)) | preservative-211",5,High Risk
"Palm Oil, Palmolein, Black Salt, FRUIT AND VEGETABLE EXTRACTS, guava pulp, Refined sugar",3,Moderate
"BLACK SALT, whole wheat flour, tricalcium phosphate",1,Very Safe
"Salt, bengal gram, CUMIN SEED, caffeine, wheat flour, Orange Fruit Powder",2,Safe
"sugar, Palmolien Oil, Sugar, Edible Vegetable Oil (Palm), rock salt, SPICES & CONDIMENTS",2,Safe
"edible common salt, Toned Milk, Milk Solids, MINERAL (ZINC B, VITAMIN E (ACETATE)",2,Safe
"Sodium Hydrogen Carbonate (Raising Agent, E500 (ii))",4,Concerning
"RAISING AGENTS[503(ii),500 (ii),450(1)] | BLACK SALT | EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415) | Soya Flour | CONTAINS PERMITTED NATURAL COLOUR | antioxidant (ins 320) | REFINED WHEAT FLOUR (MAIDA) | SYNTHETIC FOOD COLOURS (E102 & E133) | RAISING AGENTS[503(II),500 (II),450(1)] | HONEY",5,High Risk
"Refined Soyabean Oil, edible palm oil, REFINED WHEAT FLOUR (MAIDA), ADDED ORANGE FLAVOUR, Edible Common salt, Liquid Glucose, REFINED WHEAT FLOUR (53%), choco crème, Anticaking Agent (Ins 551)",4,Concerning
salt,2,Safe
REFINED WHEAT FLOUR (MAIDA),3,Moderate
"SUGAR, Refined Wheat Flour (53%), Colour (Ins 150D), Refined Wheat Flour (53%), EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), synthetic food colours (e102 & e133), SALT, invert syrup, palm oil",5,High Risk
"ORANGE JUICE CONCENTRATE; invert syrup; Milk Solids; FLAVOURING SUBSTANCES; HYDROGENATED VEGETABLE OIL; COLOUR(S) (INS 150c, INS 150d); stabilizer (pectin); lodized Salt",4,Concerning
"WHEAT FLOUR, Edible Common salt, Butter, Edible Vegetable Oil (Palmolein Oil), Antioxidant(E300), sugar, FRUIT AND VEGETABLE EXTRACTS",4,Concerning
"FRUIT JUICE POWDER, choco crème, COCOA BUTTER, FRUIT AND VEGETABLE EXTRACTS, COCOA SOLIDS",2,Safe
"rice flour, wheat gluten, milk solids",1,Very Safe
"Refined Palm Oil, Salt, PRESERVATIVE (282), Acidity Regulators (330, 331()), sugar, Tomato Powder, artificial flavouring substances ethyl vanillin, Vitamins, refined wheat flour (maida), Stabilizer (Ins 170)",5,High Risk
"SALT, natural essential oils, emuls 472e, 481 (1), DRY FRUITS POWDER, DRY FRUITS POWDER, wheat flour",2,Safe
"refined wheat flour, PALMOLEIN, citric acid (acidifying agent, e330), maltodex- trin, PRESERVATIVES (280, 281 & 200], Synthetic Food Colour (Ins-122)(Ins-124), Invert Sugar Syrup, Emulsifying Stabilizing Agents (Ins 414, Ins 331, Ins 415)",5,High Risk
"EMULSIFIERS (322,412,472E,471) | Maize Starch | TOMATO POWDER | Antioxidant(E300) | SUGAR | Refined Palm Oil",4,Concerning
"SUGAR, Liquid glucose, flavour enhancers (ins 627&ins 631)., ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE, SYNTHETIC FOOD COLOUR-124, Refined Palm Oil, Emulsifier (Soya Lecithin)",5,High Risk
"refined sugar, sucrose, refined soyabean oil, dough conditioner (223), Hydrogenated vegetable fat, Water, CORN FLAKES, ANTIOXIDANT, BUTTER, Iodized salt, LIQUID GLUCOSE",4,Concerning
Hydrogenated vegetable fat,2,Safe
"Wheat Flour, BUTTER",2,Safe
"WHEAT FLOUR | sweeteners( 951, 950) | corn flour | Corn Flakes",5,High Risk
"butter, Artificial Flavour Substances (Rose), Toned Milk Dahi, SUGAR, ADDED ORANGE FLAVOURS, dough conditioner (223), Maize Starch, ANTICIDANT [300]",5,High Risk
"Sweeteners( 951, 950); Iodized salt; Synthetic Food Colours; PALMOLEIN; SUGAR; CLASS II PRESERVATIVES (E282); sucrose; Soy Sauce Powder (soybean, wheat, salt); Refined sugar",5,High Risk
mixed spices,1,Very Safe
"cocoa solids, cocoa solids",1,Very Safe
"PALMOLEIN, salt, water, MINERAL (ZINC B, VITAMIN E (ACETATE), REFINED PALM OIL, HYDROGENATED VEGETABLE FAT, thickener (508), Flavour Enhancers (INS 627&INS 631).",5,High Risk
"sunflower oil, refined palmolein oil, stabilizer (INS 170), REFINED PALM OIL, EDIBLE SALT, Palm Oil",4,Concerning
"palm oil, Bengal Gram, edible common salt",3,Moderate
stabilizer (e 440); SYNTHETIC FOOD COLOUR (INS 133); Emulsifier (322); REFINED WHEAT FLOUR,5,High Risk
"REFINED WHEAT FLOUR (MAIDA), Yeast, Edible Common Salt, PURIFIED WATER, WHEAT GLUTEN, FLOUR TREATMENT AGENT (1100), REFINED WHEAT FLOUR (MAIDA), CORN FLOUR, LIQUID GLUCOSE",4,Concerning
"colour (ins 150d), Emulsifier (Ins 322), EMULSIFIERS (322,412,472e,471)",4,Concerning
"Sugar, Milk Solids, ORANGE JUICE",2,Safe
"emuls 472e, 481 (1), Water, SUGAR, Milk Solids, Double Toned Milk, SUGAR",2,Safe
"choco cream, FRUIT AND VEGETABLE EXTRACTS, palmolien oil, Salt, sugar",2,Safe
"Refined Wheat Flour (Maida), Vitamin B1 (The chloride hydrochloride), Sugar, SOYA FLOUR",3,Moderate
synthetic food colours,5,High Risk
"salt, PURIFIED WATER, Salt, Soy Sauce Powder (soybean, wheat, salt)",2,Safe
Liquid glucose; wheat flour; Refined Wheat Flour (Maida); REFINED PALM OIL; Hydrogenated Vegetable Oil; NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE; rolled oats; synthetic food colours (e102 & e133),5,High Risk
"PALMOLEIN; Wheat Bran; Tertiary Butylhydroquinone (Antioxidant, E319); Sweetener (955).; CLASS II PRESERVATIVE; stabilizer (407); REFINED PALM OIL; Edible Palm Oil; Soya Flour; IODISED SALT; INVERT SUGAR SYRUP",5,High Risk
"refined palm oil, Wheat gluten, MALTODEXTRIN, Rock Salt",4,Concerning
"MAIZE STARCH | rock salt | REFINED WHEAT FLOUR | sugar | mineral (zinc b, vitamin e (acetate) | STABILISERS (415, 466, 1400), | Leavening Agent",4,Concerning
"Invert Syrup, edible vegetable oil (soyabean, palmolein), Cocoa solids, DEHYDRATED VEGETABLES (CARROT, PARSLEY), Wheat Gluten, Refined Palm Oil",3,Moderate
Iodized Salt,2,Safe
Sugar,2,Safe
WHEAT FLOUR,2,Safe
"purified water, HYDROGENATED VEGETABLE OIL, Salt, Refined Wheat Flour (Maida), Yeast",3,Moderate
WHEAT FLOUR,2,Safe
"Edible Common Salt, Potassium Chloride (Gelling Agent, E508), Edible Vegetable Fat, ARTIFICIAL FLAVOURIN SUBSTANCES, FLAVOURING SUBSTANCES-CHOCOLATE, Hydrogenated vegetable fats, Refined Wheat Flour (53%), ADDED ORANGE FLAVOUR, ACIDITY REGULATOR (INS 330), Invert Syrup",5,High Risk
SUGAR,2,Safe
"Noodle powder, MANGO PULP, Vitamin B1 (The chloride hydrochloride), cinnamon, Wheat Gluten",1,Very Safe
"REFINED PALM OIL, Edible vegetable oil (Palm oil)",3,Moderate
"palmolien oil; MILK SOLIDS; Sugar; colour(s) (ins 150c, ins 150d)",4,Concerning
"Mineral (Calcium Carbonate), Milk solids, Cereal Products, HONEY, glucose",1,Very Safe
cocoa solids,1,Very Safe
"Sugar, milk",2,Safe
"Ragi, turmeric powder, milk solids, Cumin Seed, Dry Fruits Powder",1,Very Safe
"PALM OIL, TONED MILK, Black Salt, REFINED PALM OIL, palm oil, salt",3,Moderate
"FLAX & SESAME SEEDS, Whole Wheat Flour, Oats, Whole Wheat Flour, natural spice extracts, Milk Solids",1,Very Safe
"Wheat Flour, palm oil, flavouring substance, Antioxidant (300)., MALTODEX- TRIN, LEAVENING AGENT (INS 500 {I})",4,Concerning
"ANTIOXIDANT, Acidity Regular (INS-330), emulsifying stabilizing agents (ins 414, ins 331, ins 415), Synthetic Food Colour (Ins-122)(Ins-124), refined palmolein oil, lemon juice concentrate, Elaichi Flavour, Refined Wheat Flour (Maida), PALM OIL",5,High Risk
FLAVOUR ENHANCER (635) | flavouring substances | LIQUID GLUCOSE | FLAX & SESAME SEEDS | Flavour Enhancers (INS 627&INS 631). | Added Flavour (Natural Flavouring Substances | organic whole millets flour | Whole Wheat Flour(Atta),5,High Risk
Refined Wheat Flour (53%); maize starch; refined soyabean oil; JAGGERY,3,Moderate
"PALM OIL, LIQUID GLUCOSE, REFINED SUGAR, Milk Solids, Acidity Regulator (Ins-330), synthetic food colours (e102 & e133), REFINED SUGAR",5,High Risk
"Palm Oil, Permitted Emulsifier (E481()), Bengal Gram, STABILIZER (PECTIN)",4,Concerning
"MINERAL (ZINC B, VITAMIN E (ACETATE), Sunflower Oil, Water",1,Very Safe
"Palmolein, THICKENER (508), sweeteners( 951, 950), MIXED FRUIT, SODIUM BENZOATE (INS 211)., VITAMIN B2 (RIBOFLAVIN), Maize Starch, Sugar, Salt, butter, WHEAT GLUTEN",5,High Risk
"edible palm oil, Antioxidant (Ins 300)., CONTAINS PERMITTED NATURAL COLOUR, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, mixed spices, Antioxidant (INS 320), malt extract, HYDROGENATED VEGETABLE FAT, refined palm oil",5,High Risk
Sodium Benzoate (Ins 211).,5,High Risk
"spices & condiments, vitamin b2 (riboflavin)",1,Very Safe
"Refined Palmolein oil, IODISED SALT, Wheat Flour (Maida)",3,Moderate
EMULSIFIER (SOYA LECITHIN) | cocoa solids | EMULSIFIER | Synthetic Food Colours (Ins 102 & 133) | mango pulp | flax & sesame seeds | Refined Wheat Flour,5,High Risk
"Stabilizer (E 440), preservative (211), edible vegetable oils (palm), Milk solids, Salt, flavouring substances-chocolate",4,Concerning
"Vitamin B1 (The chloride hydrochloride), Rock Salt, NATURAL CEREAL FIBRE, Corn Flakes",1,Very Safe
"EDIBLE COMMON SALT, edible palm oil, stabilizer (pectin), spices, Double Toned Milk, Artificial Flavouring Substances Ethyl Vanillin, acidity regulator (ins 260), butter, SYNTHETIC FOOD COLOURS (110, 102), ANTICIDANT [300], Edible vegetable oil (Palm oil)",5,High Risk
"Acidity Regulator (INS 330). | SUGAR | EDIBLE COMMON SALT | Wheat Gluten | sugar | SWEETENER (955). | CITRIC ACID (ACIDIFYING AGENT, E330) | CEREAL PRODUCTS",5,High Risk
"Milk solids, NATURAL ESSENTIAL OILS, SPICES, mineral (zinc b, vitamin e (acetate), NATURAL SPICE OILS",1,Very Safe
"Refined Wheat Flour, Red Chilli Powder, refined soyabean oil, Sunflower Oil, MILK SOLIDS",3,Moderate
Invert Syrup | REFINED PALMOLEIN OIL | class ii preservative (ins-211) | MALTODEX- TRIN | NATURAL FOOD COLOUR (150) | Antioxidant(E300),4,Concerning
"caffeine; Emulsifiers [471,481 (i)]; Wheat Flour; EMULSIFIER ((471),460())",4,Concerning
"refined palmolein, EDIBLE COMMON SALT",3,Moderate
CORN FLOUR | refined wheat flour (maida) | refined palm oil | Flax & Sesame Seeds | CHOCO CREAM | milk solids | Salt | Leavening Agent (Ins 500 {I}) | ANTIOXIDANT (INS 307B) | edible vegetable oil (palm oil),4,Concerning
"Invert Syrup, jaggery, Spices & Condiments, Sugar, Salt, Peas",3,Moderate
ANTICAKING AGENT (INS 551),4,Concerning
Peanut,1,Very Safe
"EDIBLE VEGETABLE OIL (SOYABEAN, PALMOLEIN), sugar, Milk Solids, Sugar, EDIBLE VEGETABLE OIL",2,Safe
"choco crème, Glucose, orange juice, ALMOND, cocoa solids",1,Very Safe
"refined palm oil, EDIBLE COMMON SALT, Hydrogenated Vegetable Oil, Palm oil",3,Moderate
ARTIFICIAL FLAVOUR SUBSTANCES (ROSE); Refined Palm Oil; Edible Palm Oil; butter; Artificial Flavouring Substance Vanilla And Milk; Sweetener (960); palm oil; Palm Oil; Orange Juice Concentrate,5,High Risk
"Salt, vitamin b1 (the chloride hydrochloride), edible vegetable oil (mustard oil), ASAFOETIDA",2,Safe
"ASAFOETIDA, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), BUTTER",4,Concerning
"Refined Palmolein, GLUTEN, sugar, SUCROSE, WHEAT FLOUR, liquid glucose",3,Moderate
"Hydrogenated Vegetable Fat, Refined Palmolein Oil, palm oil, stabilizer (407), added orange flavour, ARTIFICIAL SWEETENERS, REFINED WHEAT FLOUR (53%), REFINED WHEAT FLOUR (53%)",5,High Risk
Glucose,1,Very Safe
"refined palm oil, Refined Wheat Flour (Maida), ragi, Edible Salt, Sugar, fruit juice powder, Orange Fruit Powder, Malt Extract, ANTICAKING AGENT(INS 554)",4,Concerning
"acidity regulators (338, 331, 330)",4,Concerning
"CAFFEINE, Cinnamon, Milk, Rock Salt, ORANGE JUICE",1,Very Safe
"edible palm oil; Refined Wheat Flour (Maida); palm oil; choco cream; preservative (ins234); Emulsifying Stabilizing Agents (Ins 414, Ins 331, Ins 415)",4,Concerning
"REFINED PALM OIL, Sugar, Flavour Enhancers (Ins 627&Ins 631)., Butter, Refined Wheat Flour (Maida), Liquid Glucose, palm oil, Wheat Flour (Maida), edible common salt",5,High Risk
mineral (calcium carbonate) | hydrogenated vegetable fat | EDIBLE SALT | edible palm oil | BLACK SALT,4,Concerning
Refined sugar | Liquid Glucose | ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES | palmolien oil | HYDROGENATED VEGETABLE FAT | Flour Treatment Agent (1100) | PALM OIL | orange juice | refined palmolein oil | SYNTHETIC FOOD COLOURS | ACIDITY REGULATOR (INS 260),5,High Risk
"Liquid Glucose, Thickener (508), Water, Emulsifier ((471),460()), ADDED FLAVOUR SUBSTANCES, elaichi flavour, Artificial Flavouring Substances Ethyl Vanillin, refined wheat flour (maida)",5,High Risk
"Orange Juice Concentrate, EDIBLE STARCH, OATS",2,Safe
apple acidity regulator 330,4,Concerning
"preservative (211); Wheat Flour; RAISING AGENTS[503(II),500 (II),450(1)]",4,Concerning
"STABILIZER (PECTIN); Emulsifiers (322,412,472E,471); Wheat flour (Maida); ACIDITY REGULATORS (338, 331, 330); Emulsifiers (322,472E,471); Flavour Enhancers (INS 627&INS 631).; Water",5,High Risk
"Liquid Glucose, LIQUID GLUCOSE",3,Moderate
"REFINED WHEAT FLOUR (53%), EDIBLE COMMON SALT, REFINED SUGAR, refined sugar, Palm oil, refined palm oil, Synthetic Food Colours (E102 & E133), REFINED PALMOLEIN, Refined Wheat Flour (53%), Refined Wheat Flour (53%), SUGAR, orange fruit powder",5,High Risk
LIQUID GLUCOSE | Sunflower Oil | Sesame Seeds | Sugar | salt,3,Moderate
WHEAT GLUTEN,1,Very Safe
"sugar, edible vegetable oil (mustard oil), Sugar",2,Safe
"Sugar, CAFFEINE, cocoa solids, Edible Vegetable Oil (Mustard Oil)",2,Safe
